,City,Country,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Date
0,mar del plata,AR,-38.0023,-57.5575,7.0,81.0,46.94,4.0,1652598071.0
1,castro,BR,-24.7911,-50.0119,100.0,98.0,54.59,2.89,1652598207.0
2,taolanaro,,,,,,,,
3,hilo,US,19.7297,-155.09,77.0,98.0,72.28,1.99,1652598038.0
4,rikitea,PF,-23.1203,-134.9692,100.0,72.0,75.83,20.85,1652598150.0
5,hermanus,ZA,-34.4187,19.2345,0.0,71.0,53.8,7.49,1652598243.0
6,preobrazheniye,RU,42.9019,133.9064,23.0,57.0,52.84,16.75,1652598244.0
7,albany,US,42.6001,-73.9662,100.0,93.0,65.17,3.0,1652598040.0
8,atuona,PF,-9.8,-139.0333,63.0,78.0,78.39,18.43,1652598244.0
9,hasaki,JP,35.7333,140.8333,100.0,53.0,64.8,12.19,1652598245.0
10,kyzyl-suu,KG,42.3414,78.0056,100.0,80.0,52.54,3.29,1652598245.0
11,valparaiso,CL,-33.0393,-71.6273,0.0,82.0,52.48,4.61,1652598246.0
12,siayan,PH,8.2667,123.1,100.0,79.0,81.7,2.77,1652598246.0
13,altamira,BR,-3.2033,-52.2064,100.0,99.0,71.92,2.33,1652598247.0
14,sao jose da coroa grande,BR,-8.8978,-35.1478,39.0,86.0,76.78,6.73,1652598247.0
15,qaanaaq,GL,77.484,-69.3632,99.0,70.0,16.72,7.05,1652598248.0
16,tazovskiy,RU,67.4667,78.7,100.0,100.0,40.62,10.13,1652598248.0
17,chuy,UY,-33.6971,-53.4616,100.0,93.0,56.68,8.25,1652598249.0
18,tsihombe,,,,,,,,
19,aketi,CD,2.7388,23.7833,80.0,71.0,78.44,1.36,1652598250.0
20,khatanga,RU,71.9667,102.5,100.0,100.0,34.05,11.12,1652598250.0
21,paradwip,,,,,,,,
22,manado,ID,1.487,124.8455,40.0,66.0,90.37,4.61,1652598251.0
23,vaini,TO,-21.2,-175.2,75.0,83.0,69.96,4.61,1652598251.0
24,kapaa,US,22.0752,-159.319,75.0,83.0,78.78,11.5,1652598252.0
25,hobart,AU,-42.8794,147.3294,75.0,81.0,57.06,21.85,1652598009.0
26,barrow,US,71.2906,-156.7887,0.0,86.0,23.02,16.11,1652598253.0
27,mandan,US,46.8267,-100.8896,0.0,66.0,49.8,9.22,1652598253.0
28,provideniya,RU,64.3833,-173.3,100.0,91.0,36.37,8.59,1652598254.0
29,fairbanks,US,64.8378,-147.7164,40.0,63.0,44.94,9.22,1652598254.0
30,jamestown,US,42.097,-79.2353,0.0,94.0,62.02,6.91,1652598255.0
31,puerto ayora,EC,-0.7393,-90.3518,100.0,97.0,71.55,5.26,1652598255.0
32,barentsburg,,,,,,,,
33,bolshegrivskoye,,,,,,,,
34,punta arenas,CL,-53.15,-70.9167,30.0,93.0,37.11,4.63,1652598256.0
35,san quintin,MX,30.4833,-115.95,0.0,78.0,61.88,5.57,1652598257.0
36,pineville,US,31.3224,-92.4343,0.0,84.0,75.09,0.0,1652598257.0
37,bulgan,MN,48.8125,103.5347,10.0,13.0,68.13,8.66,1652598258.0
38,vardo,NO,70.3705,31.1107,100.0,93.0,39.18,4.61,1652598258.0
39,atkinson,US,42.8384,-71.147,100.0,87.0,68.09,1.01,1652598003.0
40,mahebourg,MU,-20.4081,57.7,36.0,74.0,81.25,11.99,1652598259.0
41,tuktoyaktuk,CA,69.4541,-133.0374,34.0,86.0,24.76,6.85,1652598201.0
42,georgetown,MY,5.4112,100.3354,20.0,74.0,89.53,7.0,1652597967.0
43,walvis bay,NA,-22.9575,14.5053,0.0,62.0,62.62,4.45,1652598260.0
44,mataura,NZ,-46.1927,168.8643,8.0,96.0,46.47,2.51,1652598260.0
45,bonthe,SL,7.5264,-12.505,25.0,87.0,76.35,3.76,1652598261.0
46,celestun,MX,20.8667,-90.4,0.0,84.0,73.44,12.3,1652598261.0
47,binika,IN,21.0333,83.8,16.0,21.0,110.44,5.73,1652598262.0
48,yellowknife,CA,62.456,-114.3525,100.0,52.0,44.56,13.0,1652598087.0
49,taltal,CL,-25.4,-70.4833,53.0,79.0,58.73,0.85,1652598263.0
50,busselton,AU,-33.65,115.3333,100.0,56.0,61.66,9.22,1652598263.0
51,nikolskoye,RU,59.7035,30.7861,74.0,71.0,52.79,9.26,1652598264.0
52,kodiak,US,57.79,-152.4072,75.0,46.0,45.91,6.91,1652598264.0
53,new smyrna beach,US,29.0258,-80.927,6.0,90.0,72.12,5.93,1652598265.0
54,bethel,US,41.3712,-73.414,100.0,92.0,64.49,4.61,1652598265.0
55,puerto madero,MX,14.7208,-92.4215,75.0,100.0,77.2,0.0,1652598266.0
56,necochea,AR,-38.5473,-58.7368,100.0,72.0,48.79,15.61,1652598006.0
57,itacoatiara,BR,-3.1431,-58.4442,100.0,98.0,74.17,2.3,1652598266.0
58,casablanca,MA,33.5928,-7.6192,46.0,82.0,64.62,3.49,1652598216.0
59,port alfred,ZA,-33.5906,26.891,0.0,72.0,63.54,6.06,1652598267.0
60,plainfield,US,40.6168,-74.4173,100.0,98.0,65.64,0.0,1652598268.0
61,meadow lake,US,34.8014,-106.5436,0.0,14.0,67.68,3.98,1652598268.0
62,sovetskiy,RU,61.3614,63.5842,96.0,53.0,58.32,11.52,1652598269.0
63,elat,IL,29.5581,34.9482,20.0,30.0,84.04,13.8,1652598269.0
64,ribeira grande,PT,38.5167,-28.7,75.0,88.0,55.8,18.41,1652598270.0
65,grand river south east,,,,,,,,
66,nchelenge,ZM,-9.3451,28.734,13.0,63.0,68.04,7.47,1652598271.0
67,chitrakonda,IN,18.1167,82.0833,11.0,25.0,104.29,3.69,1652598271.0
68,gurgan,,,,,,,,
69,ushuaia,AR,-54.8,-68.3,1.0,83.0,37.72,2.42,1652598085.0
70,nioro,GM,13.35,-15.75,5.0,69.0,75.02,4.21,1652598272.0
71,lata,PT,40.1629,-8.3327,100.0,89.0,60.93,4.83,1652598272.0
72,guerrero negro,MX,27.9769,-114.0611,10.0,82.0,61.2,8.93,1652598273.0
73,ola,RU,59.5833,151.2833,100.0,83.0,40.96,30.71,1652598273.0
74,deputatskiy,RU,69.3,139.9,100.0,86.0,21.49,7.78,1652598274.0
75,saint-philippe,RE,-21.3585,55.7679,96.0,79.0,80.19,8.3,1652598274.0
76,wasilla,US,61.5814,-149.4394,0.0,49.0,49.15,6.91,1652598275.0
77,cape town,ZA,-33.9258,18.4232,0.0,82.0,59.92,8.99,1652598275.0
78,te anau,NZ,-45.4167,167.7167,100.0,90.0,48.56,0.87,1652598276.0
79,arlit,NE,18.7369,7.3853,0.0,14.0,88.2,11.34,1652598277.0
80,jishui,CN,33.7333,115.4,100.0,17.0,80.46,6.35,1652598277.0
81,erzin,TR,36.9559,36.2,100.0,78.0,68.05,4.61,1652598278.0
82,dingle,PH,10.9995,122.6711,100.0,67.0,86.36,6.91,1652598278.0
83,esperance,AU,-33.8667,121.9,100.0,71.0,57.04,11.1,1652598279.0
84,port elizabeth,ZA,-33.918,25.5701,0.0,79.0,62.31,3.0,1652598279.0
85,iqaluit,CA,63.7506,-68.5145,79.0,97.0,5.88,4.63,1652598280.0
86,hofn,IS,64.2539,-15.2082,100.0,87.0,42.89,14.81,1652598280.0
87,sungaipenuh,ID,-2.0833,101.3833,80.0,82.0,75.83,2.66,1652598281.0
88,arraial do cabo,BR,-22.9661,-42.0278,83.0,75.0,72.19,18.21,1652598281.0
89,lana,IT,46.6124,11.1559,10.0,67.0,66.4,1.77,1652598282.0
90,khromtau,KZ,50.2503,58.4347,100.0,87.0,56.34,18.34,1652598282.0
91,choya,RU,52.0108,86.5467,100.0,17.0,85.03,5.68,1652598283.0
92,chokurdakh,RU,70.6333,147.9167,96.0,88.0,22.69,4.16,1652598283.0
93,newport,GB,51.5877,-2.9984,100.0,86.0,57.63,1.01,1652598284.0
94,namibe,AO,-15.1961,12.1522,1.0,57.0,74.34,1.5,1652598284.0
95,hommelvik,NO,63.4108,10.7942,75.0,78.0,44.56,17.27,1652598285.0
96,saint-pierre,RE,-21.3393,55.4781,0.0,57.0,80.28,17.27,1652598285.0
97,itoman,JP,26.1247,127.6694,75.0,83.0,71.98,20.71,1652598286.0
98,cabo san lucas,MX,22.8909,-109.9124,100.0,57.0,76.6,8.81,1652598001.0
99,bouza,NE,14.4229,6.0428,14.0,18.0,86.54,7.0,1652598287.0
100,usinsk,RU,65.9939,57.5281,27.0,65.0,52.45,6.17,1652598287.0
101,sitka,US,57.0531,-135.33,75.0,76.0,46.29,0.0,1652598288.0
102,geraldton,AU,-28.7667,114.6,100.0,56.0,73.81,6.91,1652598288.0
103,ancud,CL,-41.8697,-73.8203,0.0,89.0,43.93,8.21,1652598289.0
104,bredasdorp,ZA,-34.5322,20.0403,0.0,72.0,56.19,3.51,1652598289.0
105,marin,US,38.0666,-122.7344,0.0,85.0,60.82,1.01,1652598290.0
106,nizhneyansk,,,,,,,,
107,satitoa,,,,,,,,
108,birmitrapur,IN,22.4,84.7667,8.0,16.0,112.17,13.0,1652598291.0
109,haines junction,CA,60.7522,-137.5108,100.0,98.0,34.0,3.47,1652598291.0
110,alugan,PH,12.2188,125.4808,85.0,74.0,84.0,13.31,1652598292.0
111,sentyabrskiy,,,,,,,,
112,aitape,PG,-3.1374,142.3475,48.0,73.0,83.5,4.14,1652598292.0
113,dikson,RU,73.5069,80.5464,100.0,98.0,33.13,5.08,1652598293.0
114,espana,PH,12.3841,122.499,98.0,74.0,83.41,5.79,1652598293.0
115,belushya guba,,,,,,,,
116,aguimes,ES,27.9054,-15.4461,20.0,67.0,63.66,5.75,1652598294.0
117,amderma,,,,,,,,
118,barra patuca,HN,15.8,-84.2833,6.0,85.0,77.16,4.38,1652598295.0
119,kaitangata,NZ,-46.2817,169.8464,48.0,88.0,46.33,2.42,1652598295.0
120,saskylakh,RU,71.9167,114.0833,100.0,100.0,33.84,8.3,1652598296.0
121,araceli,PH,10.5529,119.9913,89.0,75.0,83.98,7.72,1652598296.0
122,baruun-urt,MN,46.6806,113.2792,100.0,19.0,64.08,18.54,1652598072.0
123,nelson bay,AU,-32.7167,152.15,100.0,91.0,73.99,8.14,1652598004.0
124,hovd,MN,48.0056,91.6419,1.0,10.0,69.87,9.28,1652598297.0
125,rudbar,AF,30.15,62.6,0.0,18.0,81.72,18.59,1652598298.0
126,adrar,MR,20.5022,-10.0711,5.0,12.0,81.97,9.06,1652598298.0
127,souillac,MU,-20.5167,57.5167,66.0,75.0,76.42,10.85,1652598299.0
128,port hardy,CA,50.6996,-127.4199,100.0,90.0,47.64,11.79,1652598223.0
129,portlethen,GB,57.0547,-2.1307,11.0,85.0,53.82,2.3,1652598299.0
130,vaitupu,,,,,,,,
131,narsaq,GL,60.9167,-46.05,100.0,54.0,35.82,5.46,1652598300.0
132,kawana waters,,,,,,,,
133,fortuna,US,40.5982,-124.1573,100.0,95.0,56.93,0.0,1652598301.0
134,illoqqortoormiut,,,,,,,,
135,cidreira,BR,-30.1811,-50.2056,80.0,95.0,62.08,5.99,1652598302.0
136,tura,IN,25.5198,90.2201,98.0,89.0,79.18,6.89,1652598302.0
137,abu samrah,SY,35.3029,37.1841,6.0,22.0,84.49,22.86,1652598303.0
138,antofagasta,CL,-23.65,-70.4,43.0,80.0,56.48,4.14,1652598303.0
139,talnakh,RU,69.4865,88.3972,100.0,100.0,38.95,8.63,1652598304.0
140,kuryk,KZ,43.2,51.65,2.0,70.0,64.18,15.01,1652598304.0
141,tuntum,BR,-5.2581,-44.6489,100.0,98.0,72.68,2.75,1652598305.0
142,carnarvon,AU,-24.8667,113.6333,0.0,29.0,75.45,13.58,1652598305.0
143,lashio,MM,22.9333,97.75,27.0,51.0,87.42,0.4,1652598306.0
144,new norfolk,AU,-42.7826,147.0587,100.0,80.0,56.7,6.22,1652598306.0
145,asau,RO,46.4333,26.4,21.0,38.0,67.95,3.29,1652598307.0
146,tautira,PF,-17.7333,-149.15,20.0,78.0,79.54,10.89,1652598085.0
147,palencia,ES,42.4167,-4.5,1.0,79.0,59.79,10.8,1652598140.0
148,najran,SA,17.4924,44.1277,0.0,9.0,85.28,13.67,1652598308.0
149,meyungs,,,,,,,,
150,thompson,CA,55.7435,-97.8558,100.0,100.0,39.36,2.3,1652598239.0
151,pevek,RU,69.7008,170.3133,58.0,81.0,25.5,11.41,1652598309.0
152,comodoro rivadavia,AR,-45.8667,-67.5,0.0,65.0,40.86,4.61,1652598309.0
153,severo-kurilsk,RU,50.6789,156.125,100.0,96.0,36.75,25.43,1652598310.0
154,cutzamala,,,,,,,,
155,shimoda,JP,34.6667,138.95,98.0,77.0,65.1,8.99,1652598310.0
156,victoria,HK,22.2855,114.1577,100.0,87.0,80.65,1.99,1652598140.0
157,portland,US,45.5234,-122.6762,100.0,83.0,61.39,4.0,1652598254.0
158,port-gentil,GA,-0.7193,8.7815,75.0,89.0,80.56,6.91,1652598311.0
159,bluff,NZ,-46.6,168.3333,29.0,79.0,46.8,8.01,1652598312.0
160,upernavik,GL,72.7868,-56.1549,9.0,88.0,5.18,4.47,1652598312.0
161,kutum,SD,14.2,24.6667,58.0,26.0,86.45,9.13,1652598313.0
162,mabaruma,GY,8.2,-59.7833,100.0,97.0,72.86,1.32,1652598313.0
163,emba,KZ,48.8264,58.1442,100.0,58.0,63.57,18.39,1652598314.0
164,malindi,KE,-3.2175,40.1191,81.0,67.0,82.85,13.62,1652598314.0
165,masvingo,ZW,-20.0637,30.8277,0.0,44.0,68.79,11.79,1652598315.0
166,abensberg,DE,48.8167,11.85,18.0,66.0,62.58,4.88,1652598315.0
167,coihaique,CL,-45.5752,-72.0662,40.0,100.0,26.55,1.14,1652598316.0
168,khorixas,NA,-20.3667,14.9667,0.0,26.0,71.67,13.78,1652598316.0
169,los llanos de aridane,ES,28.6585,-17.9182,40.0,73.0,62.35,8.01,1652598317.0
170,brookhaven,US,31.5791,-90.4407,100.0,94.0,69.46,2.46,1652598180.0
171,pozhva,RU,59.0912,56.0847,69.0,56.0,56.21,10.78,1652598318.0
172,ixtapa,MX,20.7,-105.2,0.0,88.0,75.22,1.01,1652598318.0
173,bengkulu,ID,-3.8004,102.2655,38.0,84.0,83.68,8.55,1652598319.0
174,tuban,ID,-6.8976,112.0649,66.0,73.0,85.95,5.53,1652598319.0
175,belaya gora,RU,68.5333,146.4167,100.0,85.0,29.12,7.83,1652598320.0
176,likasi,CD,-10.9814,26.7333,19.0,57.0,63.46,6.8,1652598320.0
177,east london,ZA,-33.0153,27.9116,0.0,72.0,63.54,4.61,1652598321.0
178,awbari,LY,26.5921,12.7805,0.0,21.0,72.86,14.74,1652598321.0
179,cristalina,BR,-16.7686,-47.6136,54.0,66.0,62.31,5.21,1652598128.0
180,banikoara,BJ,11.2985,2.4386,96.0,62.0,83.68,6.02,1652598322.0
181,aklavik,CA,68.2191,-135.0107,100.0,93.0,20.71,3.11,1652598322.0
182,butaritari,KI,3.0707,172.7902,11.0,75.0,81.39,7.27,1652598323.0
183,saint george,US,37.1041,-113.5841,0.0,15.0,75.94,4.61,1652598079.0
184,davila,PH,18.4726,120.5763,100.0,71.0,85.66,5.23,1652598324.0
185,karratha,AU,-20.7377,116.8463,0.0,38.0,84.56,13.06,1652598324.0
186,avarua,CK,-21.2078,-159.775,22.0,65.0,78.64,11.74,1652598325.0
187,burnie,AU,-41.0667,145.9167,100.0,88.0,56.95,18.12,1652598326.0
188,kiunga,PG,-6.1219,141.2906,86.0,74.0,84.79,2.91,1652598327.0
189,mackay,AU,-21.15,149.2,2.0,81.0,75.69,6.64,1652598151.0
190,bambous virieux,MU,-20.3428,57.7575,36.0,74.0,81.21,12.33,1652598328.0
191,plettenberg bay,ZA,-34.0527,23.3716,0.0,60.0,61.72,3.36,1652598328.0
192,kenora,CA,49.8167,-94.4337,100.0,75.0,46.78,8.01,1652598329.0
193,tuatapere,NZ,-46.1333,167.6833,40.0,90.0,46.31,3.27,1652598330.0
194,chagda,,,,,,,,
195,yumen,CN,40.2833,97.2,0.0,6.0,69.28,13.85,1652598331.0
196,nizwa,OM,22.9333,57.5333,0.0,14.0,93.97,6.67,1652598331.0
197,skalistyy,,,,,,,,
198,kruisfontein,ZA,-34.0033,24.7314,0.0,62.0,54.88,4.63,1652598332.0
199,salta,AR,-24.7859,-65.4117,97.0,86.0,56.57,1.99,1652598033.0
200,chapais,CA,49.7834,-74.8492,98.0,94.0,57.25,4.54,1652598333.0
201,yulara,AU,-25.2406,130.9889,2.0,34.0,79.03,9.42,1652598334.0
202,ponta do sol,PT,32.6667,-17.1,71.0,80.0,67.01,9.1,1652598334.0
203,vredendal,ZA,-31.6683,18.5012,0.0,41.0,60.57,7.45,1652598141.0
204,sioux falls,US,43.55,-96.7003,0.0,59.0,56.21,0.0,1652598335.0
205,alyangula,AU,-13.8483,136.4192,0.0,52.0,81.1,4.14,1652598336.0
206,tasiilaq,GL,65.6145,-37.6368,100.0,67.0,30.36,4.54,1652598337.0
207,la ronge,CA,55.1001,-105.2842,98.0,95.0,34.92,5.79,1652598337.0
208,torbay,CA,47.6666,-52.7314,10.0,92.0,34.29,5.01,1652598199.0
209,amapa,BR,1.0,-52.0,91.0,100.0,71.6,0.87,1652598338.0
210,cayenne,GF,4.9333,-52.3333,75.0,1.0,81.09,1.99,1652598112.0
211,longlac,,,,,,,,
212,omboue,GA,-1.5746,9.2618,97.0,89.0,78.94,7.9,1652598339.0
213,panaba,MX,21.2833,-88.2667,0.0,92.0,69.4,3.67,1652598340.0
214,labytnangi,RU,66.6572,66.4183,100.0,97.0,44.53,9.46,1652598213.0
215,avera,US,33.194,-82.5271,86.0,80.0,65.71,2.95,1652598341.0
216,urengoy,RU,65.9667,78.3667,87.0,74.0,60.44,9.55,1652598341.0
